newsId,title,summary,link
6087759,〈能源盤後〉OPEC+恐增產 7 月非農數據遠遜預期 引發需求擔憂 原油跌2美元,由於 OPEC + 可能增產，以及弱於預期的美國就業報告加劇對需求的擔憂，原油期貨價格周五 (1 日) 大跌 2 美元 / 桶。,https://m.cnyes.com/news/id/6087759
6087627,〈紐約匯市〉 美元重挫 今年降息預期升高,美元周五 (1 日) 下跌，兌日元單日跌幅為 2023 年 1 月以來最大。此前公布數據顯示，美國 7 月新增就業人數遠低於經濟學家預期，而 6 月的就業增幅也被大幅下修，促使市場對聯準會 (Fed) 今年降息次數的預期迅速升高。,https://m.cnyes.com/news/id/6087627
6087821,〈美股盤後〉美非農就業爆冷 道瓊五連跌創今年以來最長 亞馬遜市值蒸發逾2000億美元,就業數據令人失望與關稅衝擊，美股週五 (1 日) 大幅走低，恐慌指數 VIX 躍升至近六週高點，道瓊收黑 542 點，一度狂瀉 790 點，該指數連續第五天下跌，創下今年最長的連跌紀錄。,https://m.cnyes.com/news/id/6087821
6087723,美貿易代表：關稅遭法院推翻也不怕 會持續與各國進行貿易談判,根據《彭博》周五 (1 日) 報導，美國貿易代表 Jamieson Greer 稱，即使川普的全球關稅政策最終被法院認定違法，與各國的貿易談判仍將持續。,https://m.cnyes.com/news/id/6087723
6087801,Fed理事庫格勒辭職 川普提前獲新人事機會,《CNBC》周五 (1 日) 報導，聯準會理事庫格勒 (Adriana Kugler) 宣布辭職，正好在川普力推降息的時候為 Fed 留下重要空缺。這位拜登任命的理事將回喬治城大學教書，讓川普有機會安插自己人進聯準會。,https://m.cnyes.com/news/id/6087801
6087778,川普出手了！下令派遣2艘核潛艦回敬俄國前總統威脅,綜合外媒周五 (1 日) 報導，美國總統川普下令 2 艘核潛艦移至戰略位置，以回應俄羅斯前總統 Dmitry Medvedev 的威脅言論。事件起因於川普本周給俄國 10 天烏克蘭停火最後通牒，Medvedev 隨後發表威脅性聲明。,https://m.cnyes.com/news/id/6087778
6087787,非農慘爆拖垮美股！川普怒炒勞工統計局局長,"美國總統川普周五 (8/1) 宣布，已指示團隊撤換勞工統計局 (Bureau of Labor Statistics, BLS) 局長 Erika McEntarfer，原因是當天公布的 7 月就業報告顯示新增非農就業僅 7.3 萬人，遠",https://m.cnyes.com/news/id/6087787
6087698,美就業成長創疫情來最慢 9月降息預期上調至9成,據《彭博》周五報導，美國 7 月非農就業報告遜於預期，過去 3 個月平均新增就業僅 3.5 萬人，創疫情以來最慢增速，失業率升至 4.2%。數據公布後，市場對 Fed 九月降息的預期從前一日的 40% 急升至近 90%，並質疑聯準會觀望策略。,https://m.cnyes.com/news/id/6087698
6087764,美商務部癱瘓？出口許可大塞車 輝達AI晶片受阻,《路透》周五 (8/1) 援引知情人士消息報導，美國商務部主管出口許可的產業與安全局 (BIS) 陷入運作混亂，導致數千件出口許可申請停滯不前，部分案件延宕時間創下 30 多年來最長紀錄，受影響的不僅包括對中國的人工智慧 (AI) 晶片,https://m.cnyes.com/news/id/6087764
6087739,任天堂Switch系列美國漲價 新款主機價格暫不動,根據《彭博》周五報導，任天堂同日宣布自 8 月 3 日起調漲美國 Switch 主機售價，聲稱是因應「市場狀況」。除了初代 Switch，OLED 版和 Lite 版也都漲價，部分 Switch 2 配件同步調漲，不過 Switch 2 主機不變。,https://m.cnyes.com/news/id/6087739
6087685,營收、獲利強勁、廣告業務成長23% 為何亞馬遜股價還大跌7%?,亞馬遜第二季財報多數指標超出預期，但華爾街仍不買單，股價周五重挫 7%。雲端事業成長不如微軟、Google 競爭對手亮眼，加上獲利指引疲弱，掩蓋了營收、獲利強勁、廣告業務成長 23% 的表現。,https://m.cnyes.com/news/id/6087685
6087686,iPhone爆賣救不了蘋果股價？投資人仍憂需求後繼乏力,根據《路透》報導，蘋果上季營收創下三年來最佳成長，但股價周五 (8/1) 在盤中下跌近 3%，因投資人質疑由關稅與補貼帶動的 iPhone 銷售能否持續。截稿前，蘋果 (AAPL-US) 盤中股價下跌 2.85%，每股暫報 201.65 美,https://m.cnyes.com/news/id/6087686
